fullName,language,stargazersCount,createdAt,pushedAt,url,description,description_zh
schatzlab/appliedgenomics2026,,5,2026-08-26 10:22:08,2026-09-07 06:44:02,https://github.com/schatzlab/appliedgenomics2026,Materials for EN.601.449/649 Computational Genomics: Applied Comparative Genomics,EN.601.449/649 计算基因组学材料：应用比较基因组学
yoonalimsuwan/REAL-FOLD-ONE,Python,1,2026-05-17 13:11:30,2026-09-07 03:55:15,https://github.com/yoonalimsuwan/REAL-FOLD-ONE,"SUPPORT FOR PROTEIN (Multimer) , DNA , DNA Origami , RNA  , LIGANDS AND HTS (and their complexes) / All Elements (Inorganic materials) , (Alloys) , (Crystals) / Full-atom With Langevin MD , CH 3D With ThinFilm 3D , PFC 3D  : 6th-Order & Higher Operators / to EDA , QEDA Application Together STANDARD ONE for Qubit Architectures",支持蛋白质（多聚体）、DNA、DNA Origami、RNA、配体和 HTS（及其复合物）/所有元素（无机材料）、（合金）、（晶体）/全原子 与 Langevin MD 、CH 3D 与 ThinFilm 3D 、PFC 3D ：六阶及更高运算符/一起用于 EDA 、QEDA 应用量子位架构的标准一
enhansome/enhansome-conformal-prediction,,0,2026-08-12 14:47:49,2026-09-07 03:09:34,https://github.com/enhansome/enhansome-conformal-prediction,,
alfonsosaera/bioinformatics_tools,,1,2026-06-27 21:26:38,2026-09-07 02:44:07,https://github.com/alfonsosaera/bioinformatics_tools,,
enhansome/enhansome-Apache-Kafka-Guide,,0,2026-08-12 18:12:41,2026-09-07 01:40:47,https://github.com/enhansome/enhansome-Apache-Kafka-Guide,,
MaybeBio/Daily-ArXiv-AI4Bio,Python,0,2026-09-01 10:21:00,2026-09-07 01:01:14,https://github.com/MaybeBio/Daily-ArXiv-AI4Bio,,
enhansome/enhansome-bio-agent-skills,,0,2026-08-12 17:21:21,2026-09-06 23:58:11,https://github.com/enhansome/enhansome-bio-agent-skills,,
InsomaniacElf/sg-tamil-tts-resources-,,1,2026-05-26 11:12:53,2026-09-06 23:22:50,https://github.com/InsomaniacElf/sg-tamil-tts-resources-,"A curated, searchable list of datasets, models, research papers, and tools for building Text‑to‑Speech systems for Singapore Tamil and related low‑resource varieties.",用于为新加坡泰米尔语和相关低资源品种构建文本转语音系统的数据集、模型、研究论文和工具的精选、可搜索列表。
rchain-community/quantum-logical-framework,Lean,11,2026-03-25 01:16:28,2026-09-06 23:12:20,https://github.com/rchain-community/quantum-logical-framework,quantum genesis constructive possibilist quantum logical synthesis,量子发生 建设性可能论 量子逻辑综合
enhansome/enhansome-Awesome-FL,,0,2026-08-12 14:10:23,2026-09-06 22:11:50,https://github.com/enhansome/enhansome-Awesome-FL,,
enhansome/enhansome-drug-discovery,,0,2026-08-12 17:22:17,2026-09-06 20:19:34,https://github.com/enhansome/enhansome-drug-discovery,,
enhansome/enhansome-Parallel-Computing-Guide,,0,2026-08-12 18:15:16,2026-09-06 19:45:47,https://github.com/enhansome/enhansome-Parallel-Computing-Guide,,
enhansome/enhansome-computational-biology,,0,2026-08-12 17:15:25,2026-09-06 19:39:17,https://github.com/enhansome/enhansome-computational-biology,,
enhansome/enhansome-Awesome-VAEs,,0,2026-08-12 15:14:59,2026-09-06 19:37:34,https://github.com/enhansome/enhansome-Awesome-VAEs,,
mohd-faizy/the-ai-stack,,0,2026-09-06 19:11:24,2026-09-06 19:34:15,https://github.com/mohd-faizy/the-ai-stack,Evokes an authoritative reference standard that serious engineers and researchers bookmark.,唤起认真的工程师和研究人员收藏的权威参考标准。
enhansome/enhansome-biology,,0,2026-08-12 16:01:24,2026-09-06 17:21:16,https://github.com/enhansome/enhansome-biology,,
enhansome/enhansome-structural-bioinformatics,,0,2026-08-12 18:01:52,2026-09-06 16:35:46,https://github.com/enhansome/enhansome-structural-bioinformatics,,
AspirinCode/awesome-AI4MolConformation-MD,,307,2024-04-10 13:19:13,2026-09-06 16:00:09,https://github.com/AspirinCode/awesome-AI4MolConformation-MD,"List of molecules (small molecules, RNA, peptide, protein, enzymes, antibody,  and PPIs)  conformations and molecular dynamics (force fields) using generative artificial intelligence and deep learning",使用生成人工智能和深度学习的分子（小分子、RNA、肽、蛋白质、酶、抗体和 PPI）构象和分子动力学（力场）列表
ai4s-research/awesome-ai-for-science,,1945,2025-10-04 17:32:39,2026-09-06 15:03:02,https://github.com/ai4s-research/awesome-ai-for-science,"A curated list of awesome AI tools, libraries, papers, datasets, and frameworks that accelerate scientific discovery — from physics and chemistry to biology, materials, and beyond.",精选的人工智能工具、库、论文、数据集和框架列表，可加速科学发现——从物理和化学到生物学、材料等。
enhansome/enhansome-single-cell,,0,2026-08-12 13:24:16,2026-09-06 14:32:23,https://github.com/enhansome/enhansome-single-cell,,
pstAmbition/DailyArXiv_Multimodal,Python,19,2025-05-15 12:54:26,2026-09-06 13:39:49,https://github.com/pstAmbition/DailyArXiv_Multimodal,Daily ArXiv Papers.,每日 ArXiv 论文。
