fullName,language,stargazersCount,createdAt,pushedAt,url,description,description_zh
clay-good/alleleforge,Python,1,2026-06-04 00:37:56,2026-09-07 08:01:07,https://github.com/clay-good/alleleforge,"A variant-first, multi-modality CRISPR design framework that unifies SpCas9 nuclease, base-editor, and prime-editor chemistries under a single typed interface to deliver ranked candidate edits complete with calibrated uncertainty intervals, predicted outcome distributions, and ancestry-stratified, population-aware off-target safety reporting.",变体优先、多模态 CRISPR 设计框架，将 SpCas9 核酸酶、碱基编辑器和主编辑器化学物质统一在单一类型的界面下，以提供排序的候选编辑，包括校准的不确定性区间、预测的结果分布以及祖先分层、群体感知的脱靶安全报告。
monzia-moodie-repo-projects/genomic-variant-classifier,Python,1,2026-02-06 16:46:37,2026-09-07 07:45:07,https://github.com/monzia-moodie-repo-projects/genomic-variant-classifier,An ensemble machine learning system for genomic pathogenic variant classification.,用于基因组致病变异分类的集成机器学习系统。
DerekDLP/arxivpaper-daily,Python,0,2025-09-24 12:29:20,2026-09-07 07:39:19,https://github.com/DerekDLP/arxivpaper-daily,,
venkatsubash2003/Jobs4Me_Live,Python,0,2026-06-20 10:50:00,2026-09-07 07:25:03,https://github.com/venkatsubash2003/Jobs4Me_Live,,
simon-oz/AI-News,,0,2023-07-20 15:20:51,2026-09-07 07:17:26,https://github.com/simon-oz/AI-News,,
imos64/imos64,,0,2026-09-05 14:30:28,2026-09-07 06:56:28,https://github.com/imos64/imos64,DevSecOps | SRE | Cloud Platform | Kubernetes | AI Benchmarking | Hyperledger Fabric,开发安全运营 |上一篇：云平台 |库伯内特 |人工智能基准测试 |超级账本结构
enhansome/enhansome-neural-trees,,0,2026-08-12 17:56:34,2026-09-07 05:42:50,https://github.com/enhansome/enhansome-neural-trees,,
Huang-lab/TRACE-Kin,Python,0,2026-07-29 05:17:12,2026-09-07 05:19:40,https://github.com/Huang-lab/TRACE-Kin,"Graph neural network for predicting enzyme kinetic parameters (Km, kcat, Ki, Kd, kcat/Km) from protein sequence and ligand SMILES. The v7 architecture couples a GATv2 + global-attention structure stream to uncompressed protein-language-model embeddings via pocket-conditioned readout. Adapted from PSICHIC.",用于根据蛋白质序列和配体 SMILES 预测酶动力学参数（Km、kcat、Ki、Kd、kcat/Km）的图神经网络。 v7 架构通过口袋条件读出将 GATv2 + 全局注意力结构流与未压缩的蛋白质语言模型嵌入相结合。改编自 PSICHIC。
songsiyi2006-chem/ai4chem-complex-scaffolds-benchmark,Python,1,2026-09-03 08:08:47,2026-09-07 04:52:56,https://github.com/songsiyi2006-chem/ai4chem-complex-scaffolds-benchmark,"⚡ A publication-grade computational chemistry benchmark stress-testing 3D conformer ensembles (ETKDGv3), force field energy landscapes (MMFF94/UFF), and topological representations across 10 novel, unindexed molecular scaffolds (PROTACs, cubanes, helicenes, macrocycles).",⚡ 出版级计算化学基准压力测试 3D 构象异构体系综 (ETKDGv3)、力场能量景观 (MMFF94/UFF) 以及 10 个新颖的、未索引的分子支架（PROTAC、立方烷、螺旋烯、大环化合物）的拓扑表示。
YouMind-OpenLab/awesome-nano-banana-pro-prompts,TypeScript,13377,2025-11-23 15:17:48,2026-09-07 04:03:57,https://github.com/YouMind-OpenLab/awesome-nano-banana-pro-prompts,"🍌 World's largest Nano Banana Pro prompt library — 10,000+ curated prompts with preview images, 16 languages. Google Gemini AI image generation. Free & open source.","🍌 世界上最大的 Nano Banana Pro 提示库 — 10,000 多个带有预览图像的精选提示，16 种语言。谷歌 Gemini AI 图像生成。免费且开源。"
yoonalimsuwan/REAL-FOLD-ONE,Python,1,2026-05-17 13:11:30,2026-09-07 03:55:15,https://github.com/yoonalimsuwan/REAL-FOLD-ONE,"SUPPORT FOR PROTEIN (Multimer) , DNA , DNA Origami , RNA  , LIGANDS AND HTS (and their complexes) / All Elements (Inorganic materials) , (Alloys) , (Crystals) / Full-atom With Langevin MD , CH 3D With ThinFilm 3D , PFC 3D  : 6th-Order & Higher Operators / to EDA , QEDA Application Together STANDARD ONE for Qubit Architectures",支持蛋白质（多聚体）、DNA、DNA Origami、RNA、配体和 HTS（及其复合物）/所有元素（无机材料）、（合金）、（晶体）/全原子 与 Langevin MD 、CH 3D 与 ThinFilm 3D 、PFC 3D ：六阶及更高运算符/一起用于 EDA 、QEDA 应用量子位架构的标准一
NY1024/AgentSafety-Papers,Python,8,2026-07-02 18:29:32,2026-09-07 03:54:24,https://github.com/NY1024/AgentSafety-Papers,Daily Tracking of LLM Agent Security Papers on arXiv,arXiv 上 LLM 代理安全论文的每日跟踪
Devanik21/Devanik21,Python,10,2024-03-16 15:07:09,2026-09-07 03:42:34,https://github.com/Devanik21/Devanik21,"Transforming data into intelligence, algorithms into consciousness  This README is a living document. Like biological organisms, it evolves, adapts, and grows with each iteration.",将数据转化为智能，将算法转化为意识 本自述文件是一份动态文档。就像生物有机体一样，它随着每次迭代而进化、适应和成长。
kaikatsumata/awesome-ai-survey-papers,Python,1,2026-06-05 20:44:14,2026-09-07 03:41:46,https://github.com/kaikatsumata/awesome-ai-survey-papers,Awesome curated list of AI survey papers across top venues — 955 verified surveys with citations & companion repos,顶级场所的人工智能调查论文精选列表 - 955 份经过验证的调查，附有引文和配套存储库
asimfish/awesome_Gflow,HTML,0,2026-09-01 16:00:24,2026-09-07 03:31:09,https://github.com/asimfish/awesome_Gflow,Awesome GFlowNets: 206 篇论文分类目录 + 35 篇中文深度解读 + 中英文对照 PDF + 趋势洞察报告,超棒的 GFlowNets：206 篇论文分类目录 + 35 篇中文深度解读 + 中英文对照 PDF + 趋势洞察报告
