fullName,language,stargazersCount,createdAt,pushedAt,url,description,description_zh
enhansome/enhansome-conformal-prediction,,0,2026-08-12 14:47:49,2026-08-31 03:49:53,https://github.com/enhansome/enhansome-conformal-prediction,,
tobias-weiss-ai-xr/software-development-research,TeX,0,2026-08-20 05:10:22,2026-08-31 03:32:23,https://github.com/tobias-weiss-ai-xr/software-development-research,,
tangwen-qian/DailyArXiv,Python,60,2024-04-08 18:54:08,2026-08-31 03:24:20,https://github.com/tangwen-qian/DailyArXiv,,
zachysun/DailyArXiv,Python,7,2024-05-26 21:37:57,2026-08-31 03:16:50,https://github.com/zachysun/DailyArXiv,Get arXiv papers everyday (Add Cool Paper for AI summary),每天获取 arXiv 论文（为 AI 摘要添加 Cool Paper）
enhansome/enhansome-Apache-Kafka-Guide,,0,2026-08-12 18:12:41,2026-08-31 02:46:32,https://github.com/enhansome/enhansome-Apache-Kafka-Guide,,
zhanxw/Literature,Python,0,2026-02-06 14:35:19,2026-08-31 02:30:36,https://github.com/zhanxw/Literature,,
tobias-weiss-ai-xr/quantum-computing-research,Python,0,2026-08-20 13:29:21,2026-08-31 02:15:46,https://github.com/tobias-weiss-ai-xr/quantum-computing-research,,
Davimity/WISDOM,Python,0,2026-07-16 06:47:14,2026-08-31 01:29:00,https://github.com/Davimity/WISDOM,"Weakly supervised, graph-Informed Surface-field Discovery and Organization of Molecular phenomena",弱监督、图形信息的表面场发现和分子现象的组织
enhansome/enhansome-bio-agent-skills,,0,2026-08-12 17:21:21,2026-08-31 01:11:37,https://github.com/enhansome/enhansome-bio-agent-skills,,
Nikolnp/Learn.AI,Python,0,2026-08-30 23:33:10,2026-08-30 23:34:26,https://github.com/Nikolnp/Learn.AI,,
enhansome/enhansome-Awesome-FL,,0,2026-08-12 14:10:23,2026-08-30 23:21:18,https://github.com/enhansome/enhansome-Awesome-FL,,
OmicsML/awesome-foundation-model-single-cell-papers,,560,2023-06-19 13:24:53,2026-08-30 22:06:58,https://github.com/OmicsML/awesome-foundation-model-single-cell-papers,,
enhansome/enhansome-drug-discovery,,0,2026-08-12 17:22:17,2026-08-30 21:59:19,https://github.com/enhansome/enhansome-drug-discovery,,
joecampdb/joecampdb,,0,2025-09-30 00:40:51,2026-08-30 21:29:45,https://github.com/joecampdb/joecampdb,,
enhansome/enhansome-Parallel-Computing-Guide,,0,2026-08-12 18:15:16,2026-08-30 21:20:23,https://github.com/enhansome/enhansome-Parallel-Computing-Guide,,
AspirinCode/awesome-AI4MolConformation-MD,,307,2024-04-10 13:19:13,2026-08-30 20:57:15,https://github.com/AspirinCode/awesome-AI4MolConformation-MD,"List of molecules (small molecules, RNA, peptide, protein, enzymes, antibody,  and PPIs)  conformations and molecular dynamics (force fields) using generative artificial intelligence and deep learning",使用生成人工智能和深度学习的分子（小分子、RNA、肽、蛋白质、酶、抗体和 PPI）构象和分子动力学（力场）列表
enhansome/enhansome-computational-biology,,0,2026-08-12 17:15:25,2026-08-30 20:53:32,https://github.com/enhansome/enhansome-computational-biology,,
enhansome/enhansome-Awesome-VAEs,,0,2026-08-12 15:14:59,2026-08-30 20:48:54,https://github.com/enhansome/enhansome-Awesome-VAEs,,
mdbabumiamssm/AI-Agentic-Skills-by-Dr.-Mia,Jupyter Notebook,6,2026-02-15 11:07:33,2026-08-30 20:05:39,https://github.com/mdbabumiamssm/AI-Agentic-Skills-by-Dr.-Mia,,
enhansome/enhansome-biology,,0,2026-08-12 16:01:24,2026-08-30 18:27:00,https://github.com/enhansome/enhansome-biology,,
enhansome/enhansome-structural-bioinformatics,,0,2026-08-12 18:01:52,2026-08-30 17:53:36,https://github.com/enhansome/enhansome-structural-bioinformatics,,
adammatthewsteinberger/vibey-skills,Python,1,2026-08-11 08:14:07,2026-08-30 17:30:45,https://github.com/adammatthewsteinberger/vibey-skills,Agent Skills for vibe engineering — 644 evidence-grounded practitioner references as a Claude Code plugin marketplace,氛围工程的代理技能 — 作为 Claude Code 插件市场的 644 个基于证据的从业者参考
Tavish9/awesome-daily-AI-arxiv,Python,113,2025-03-26 21:26:14,2026-08-30 16:09:04,https://github.com/Tavish9/awesome-daily-AI-arxiv,🚀 Daily AI Research Digest: Tracking breakthroughs in AI/NLP/CV/Robotics with dynamic updates and paper navigation.,🚀 每日人工智能研究文摘：通过动态更新和论文导航跟踪人工智能/NLP/CV/机器人领域的突破。
enhansome/enhansome-single-cell,,0,2026-08-12 13:24:16,2026-08-30 15:32:44,https://github.com/enhansome/enhansome-single-cell,,
exopoiesis/arxiv-radar-electrochemistry,Python,1,2026-05-07 01:46:31,2026-08-30 14:19:46,https://github.com/exopoiesis/arxiv-radar-electrochemistry,"Daily-curated electrochemistry-relevant papers from arXiv with abstracts, canonical tags, and generated Pages views. ",来自 arXiv 的每日精选电化学相关论文，包含摘要、规范标签和生成的页面视图。
simon-oz/AI-News,,0,2023-07-20 15:20:51,2026-08-30 13:52:02,https://github.com/simon-oz/AI-News,,
enhansome/enhansome-network-analysis,,0,2026-08-12 13:21:25,2026-08-30 13:43:04,https://github.com/enhansome/enhansome-network-analysis,,
enhansome/enhansome-ai-for-science,,0,2026-08-12 14:18:48,2026-08-30 13:11:18,https://github.com/enhansome/enhansome-ai-for-science,,
exopoiesis/arxiv-radar-chemistry,Python,1,2026-05-03 22:55:49,2026-08-30 11:56:15,https://github.com/exopoiesis/arxiv-radar-chemistry,"Daily-curated chemistry-relevant papers from arXiv with abstracts, canonical tags, and generated Pages views.",来自 arXiv 的每日精选化学相关论文，包含摘要、规范标签和生成的页面视图。
AI-in-Transportation-Lab/awesome-mechanistic-interpretability,JavaScript,151,2025-06-12 01:06:59,2026-08-30 11:08:28,https://github.com/AI-in-Transportation-Lab/awesome-mechanistic-interpretability,"A carefully curated collection of high-quality libraries, projects, tutorials, research papers, and other essential resources focused on Mechanistic Interpretability, a growing subfield in machine learning interpretability research that aims to reverse-engineer neural networks into understandable computational components.",精心策划的高质量库、项目、教程、研究论文和其他重要资源的集合，重点关注机械可解释性，这是机器学习可解释性研究中不断发展的子领域，旨在将神经网络逆向工程为可理解的计算组件。
exopoiesis/arxiv-radar-polymer,Python,0,2026-05-04 03:29:07,2026-08-30 11:03:29,https://github.com/exopoiesis/arxiv-radar-polymer,"Daily-curated polymer-relevant papers from arXiv with abstracts, canonical tags, and generated Pages views.",来自 arXiv 的每日精选聚合物相关论文，包含摘要、规范标签和生成的页面视图。
iszhanjiawei/flow_matching_arxiv_daily,Python,106,2025-07-08 18:20:28,2026-08-30 10:37:19,https://github.com/iszhanjiawei/flow_matching_arxiv_daily,,
utensil/awesome-stars,,34,2019-02-21 20:56:56,2026-08-30 09:20:42,https://github.com/utensil/awesome-stars,A curated list of my GitHub stars!,我的 GitHub 明星精选列表！
enhansome/enhansome-agi-cocosci,,0,2026-08-12 16:10:58,2026-08-30 08:35:37,https://github.com/enhansome/enhansome-agi-cocosci,,
K-Dense-AI/scientific-agent-skills,Python,39191,2025-10-20 04:54:15,2026-08-30 06:55:14,https://github.com/K-Dense-AI/scientific-agent-skills,"Turn any AI agent into an AI Scientist. The #1 Agent Skills library for science, used by 190,000+ scientists worldwide. 165 ready-to-use validated skills plus 100+ scientific databases covering biology, chemistry, medicine, and drug discovery. Compatible with Cursor, Claude Code, Codex, Pi, Antigravity, and the open Agent Skills standard.","将任何人工智能代理变成人工智能科学家。排名第一的科学代理技能库，全球有 190,000 多名科学家使用。 165 种经过验证的现成技能以及 100 多个涵盖生物学、化学、医学和药物发现的科学数据库。与 Cursor、Claude Code、Codex、Pi、Antigravity 和开放代理技能标准兼容。"
smenjas/history-notes,Shell,17,2020-02-12 11:38:27,2026-08-29 22:56:58,https://github.com/smenjas/history-notes,"My notes on natural history, science, and technology.",我关于自然历史、科学和技术的笔记。
